id,input_sentence,label,prediction,Original_Loss,T_Masked_Loss,V_Masked_Loss,A_Masked_Loss
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],-1.1537715196609497,-0.2356717884540558,1.255515217781067,0.9870007038116455
-yRb-Jum7EQ[0],vacuum it comes with the assistance and agitation of states and regimes yesterday iran announced that it will finance the families of the terrorists and murderers this shows that iran even after the nuclear agreement is continuing to aid terrorism including palestinian terrorism hezbollah terrorism and its assistance to hamas this,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],1.668554663658142,1.1075465679168701,0.05131818354129791,0.2214077115058899
0bxhZ-LIfZY[0],i think what will hold us back will be our weakness in implementation our deadlocked democracy if not educated will turn back on us which is something we need to clearly focus on education,[1. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],1.7313445806503296,0.4639193117618561,1.457558035850525,-0.21901671588420868
102213[11],animals there seems to be a ton of but there also seems to be a ton of real animals and i'm not sure why they would have blown all that money when they could have just you know it all because the animals really weren't that impressive,[0. 1. 0. 1. 0. 0.],[0. 1. 1. 1. 1. 0.],-0.14192166924476624,0.8078217506408691,1.1937403678894043,0.006946264766156673
107585[4],characters and it felt like the you know there's like just a little bit just way too typical of a boring film that tries really hard to be funny but it's just not funny at all and it's not it's not stutter witty it it's stutter,[0. 0. 1. 1. 1. 0.],[0. 1. 1. 0. 1. 0.],0.1092592254281044,1.0127578973770142,-0.2241133153438568,0.5655248761177063
107585[18],all and umm you know mandy moore's character is kind of like you feel like her character's unrealistic because what type of girl would go that hard core to you know to get married in this church and it just seemed unrealistic and she gets all in a fit and it's just really really tiring and stressful movie,[1. 0. 1. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],-0.6145455241203308,0.48585575819015503,1.2434293031692505,-0.1814061999320984
112425[2],umm i think that uhh a lot of the more recent videos from disney such as the emperor's new groove umm over the hedge and stuff like that they've had a lot of real high brow umm you know adult comedy but i think does a very good job in umm sticking to it's target audience which is kids and you know hyping that to how disney movies used to be you know with with kids jokes and not these kinds of inane sexual references so i would highly recommend i think,[0. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 1. 0.],0.0585586316883564,-0.03564133495092392,1.7797143459320068,-0.9616842269897461
116213[1],there summer here and if you're looking for a fantastic at a value price that everyone in your family can watch well why not try pay it forward with haley joel osment helen hunt and kevin spacey this movie takes you through the journey of a child who learns life's lessons and it might just leave you crying in the end,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],-1.0729566812515259,-1.0395317077636719,1.0794672966003418,0.46672728657722473
121400[8],and little do you know that uhh the league extraordinary gentlemen has a woman in it and each of these uhh five people have different powers and uhh they're all a little bit special at what they do and uhh you've got a vampire in there you've got an invisible man,[1. 0. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 0.],0.024161789566278458,0.25570768117904663,1.1035405397415161,0.38677605986595154
135623[4],granted i only paid two dollars to see it uhh there's a really cheap movie theater where i live that i can go see movies that have come out umm recently for pretty cheap but two dollars didn't even really seem like a bargain considering that movie you know just really cheesy uhh the graphics and stuff were just kind of annoying like the stuff i don't,[0. 0. 1. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],-0.664961040019989,0.7811912894248962,0.9516031742095947,0.09849913418292999
173CpFb3clw[1],get some examples from industry associations of the different terms and conditions that other people in your industry use review them look to see how your terms and conditions might fit into those sit down and draft them and then have somebody look at them like a solicitor or an industry representative to see that they meet all the and state regulations,[1. 1. 0. 0. 0. 1.],[0. 1. 0. 0. 0. 1.],0.2858251631259918,-0.817257285118103,1.0300354957580566,0.2607138752937317
190743[2],son they're looking and looking and looking and she's got a history of using drugs and she has a history of being a liar and not not stutter acting appropriately and then not being stutter you know a person with uhh everything there all her marbles together in a row and,[0. 0. 1. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],0.06796714663505554,0.8714302182197571,1.569398283958435,-0.05282313749194145
198112[10],or something but this is definitely something you're gonna show your kids cause it's hilarious and it's hilarious in a different way and a lot of people don't uhh appreciate it as much as it is because they just kinda think it's funny but i think this is creatively done because i'm into like a weird humor i guess you could say and there's like umm like hidden humor in here just that uhh with editing and continuity and uhh just the way things are produced that makes it humorous in that aspect as opposed to just uhh the way he is and it's,[1. 0. 1. 1. 0. 0.],[1. 1. 0. 0. 1. 0.],-0.13137111067771912,-0.6875556111335754,1.9510364532470703,-0.27812695503234863
1pl2FVdQWj0[1],introducing where are they from where do they go to school what was their life like growing up what was their career like what were the highs of their career what were the lows of their career do they have a family do they like basketball do they eat pizza with i,[1. 0. 1. 0. 0. 0.],[1. 0. 1. 1. 1. 0.],-1.2227708101272583,0.6905978322029114,1.1407707929611206,0.8041415214538574
