id,input_sentence,label,prediction,Original_Loss,T_Masked_Loss,V_Masked_Loss,A_Masked_Loss
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],-0.8512831330299377,-0.5531152486801147,1.3269250392913818,1.2031629085540771
-yRb-Jum7EQ[0],vacuum it comes with the assistance and agitation of states and regimes yesterday iran announced that it will finance the families of the terrorists and murderers this shows that iran even after the nuclear agreement is continuing to aid terrorism including palestinian terrorism hezbollah terrorism and its assistance to hamas this,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],1.7737412452697754,1.3940497636795044,0.11128779500722885,1.029333472251892
0bxhZ-LIfZY[0],i think what will hold us back will be our weakness in implementation our deadlocked democracy if not educated will turn back on us which is something we need to clearly focus on education,[1. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],1.5314724445343018,0.2235773503780365,1.3458319902420044,0.7047023773193359
102213[11],animals there seems to be a ton of but there also seems to be a ton of real animals and i'm not sure why they would have blown all that money when they could have just you know it all because the animals really weren't that impressive,[0. 1. 0. 1. 0. 0.],[0. 1. 1. 1. 1. 0.],-0.12704798579216003,1.037498116493225,1.457686185836792,0.18211062252521515
107585[4],characters and it felt like the you know there's like just a little bit just way too typical of a boring film that tries really hard to be funny but it's just not funny at all and it's not it's not stutter witty it it's stutter,[0. 0. 1. 1. 1. 0.],[0. 1. 1. 0. 1. 0.],0.5831335783004761,1.6614404916763306,-0.3481660485267639,0.8724856972694397
107585[18],all and umm you know mandy moore's character is kind of like you feel like her character's unrealistic because what type of girl would go that hard core to you know to get married in this church and it just seemed unrealistic and she gets all in a fit and it's just really really tiring and stressful movie,[1. 0. 1. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],-0.744208812713623,0.8218212127685547,0.9874348640441895,0.3290973901748657
112425[2],umm i think that uhh a lot of the more recent videos from disney such as the emperor's new groove umm over the hedge and stuff like that they've had a lot of real high brow umm you know adult comedy but i think does a very good job in umm sticking to it's target audience which is kids and you know hyping that to how disney movies used to be you know with with kids jokes and not these kinds of inane sexual references so i would highly recommend i think,[0. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 1. 0.],0.23544710874557495,-0.5731424689292908,0.9403724670410156,-0.12225722521543503
116213[1],there summer here and if you're looking for a fantastic at a value price that everyone in your family can watch well why not try pay it forward with haley joel osment helen hunt and kevin spacey this movie takes you through the journey of a child who learns life's lessons and it might just leave you crying in the end,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],-0.9937142729759216,-0.6360418200492859,0.7878575921058655,0.7973708510398865
121400[8],and little do you know that uhh the league extraordinary gentlemen has a woman in it and each of these uhh five people have different powers and uhh they're all a little bit special at what they do and uhh you've got a vampire in there you've got an invisible man,[1. 0. 0. 1. 0. 0.],[1. 1. 0. 1. 0. 0.],-0.08473771065473557,-0.44193896651268005,1.491700530052185,0.5702916383743286
135623[4],granted i only paid two dollars to see it uhh there's a really cheap movie theater where i live that i can go see movies that have come out umm recently for pretty cheap but two dollars didn't even really seem like a bargain considering that movie you know just really cheesy uhh the graphics and stuff were just kind of annoying like the stuff i don't,[0. 0. 1. 0. 1. 0.],[0. 1. 1. 1. 1. 0.],0.5218127965927124,1.2678728103637695,0.6853686571121216,0.3285050690174103
173CpFb3clw[1],get some examples from industry associations of the different terms and conditions that other people in your industry use review them look to see how your terms and conditions might fit into those sit down and draft them and then have somebody look at them like a solicitor or an industry representative to see that they meet all the and state regulations,[1. 1. 0. 0. 0. 1.],[0. 1. 1. 0. 0. 0.],1.0006195306777954,-0.39333412051200867,0.688306987285614,1.0935630798339844
190743[2],son they're looking and looking and looking and she's got a history of using drugs and she has a history of being a liar and not not stutter acting appropriately and then not being stutter you know a person with uhh everything there all her marbles together in a row and,[0. 0. 1. 0. 0. 0.],[0. 1. 1. 0. 1. 0.],1.0044562816619873,0.48647671937942505,1.1517109870910645,0.6056022047996521
198112[10],or something but this is definitely something you're gonna show your kids cause it's hilarious and it's hilarious in a different way and a lot of people don't uhh appreciate it as much as it is because they just kinda think it's funny but i think this is creatively done because i'm into like a weird humor i guess you could say and there's like umm like hidden humor in here just that uhh with editing and continuity and uhh just the way things are produced that makes it humorous in that aspect as opposed to just uhh the way he is and it's,[1. 0. 1. 1. 0. 0.],[1. 1. 1. 1. 1. 0.],-0.5634404420852661,-0.38412120938301086,1.6348193883895874,0.5671607851982117
1pl2FVdQWj0[1],introducing where are they from where do they go to school what was their life like growing up what was their career like what were the highs of their career what were the lows of their career do they have a family do they like basketball do they eat pizza with i,[1. 0. 1. 0. 0. 0.],[1. 0. 1. 1. 0. 0.],-0.9798248410224915,0.7430564165115356,0.887252688407898,0.8892767429351807
206585[4],he gets into it he enjoys it a lot but he's still keeping a secret from his family so he is trying to cope with having this this stutter you know exciting moment added to his life and trying to keep it from his family so he's trying to figure out how to balance everything and you know i mean the dance scenes in here i felt were fantastic i thought jennifer lopez did a fantastic job and the girl really can dance umm as as stutter far as that goes that's pretty much it i think the,[0. 0. 1. 0. 0. 0.],[1. 1. 0. 1. 0. 0.],-0.6955077052116394,-0.7786576151847839,1.0650742053985596,0.010887449607253075
208592[7],production so it's uhh the story goes like you know there's uhh this new singer dancer at a bar which is in the call girl area or the red light area kind of thing and he falls in love with this girl but this girl is in love with some other person so you know the story is whether he'll actually get the girl or not and you know how he pursues that,[0. 0. 1. 0. 1. 0.],[1. 1. 0. 0. 0. 0.],-0.11219441890716553,-0.8221167922019958,1.5860329866409302,0.19509010016918182
210259[14],office and stutter all the three of the you know all the three scenes are kind of related to each other because they're talking about why did the us go to war with afghanistan and iraq and what was the reason and what can be done now and stutter you know whatever they talk about it's they try to make a stutter drama out of it a dramatic movie out of it but really doesn't make sense you know stutter,[0. 1. 1. 1. 0. 0.],[0. 1. 1. 0. 1. 0.],0.3938537538051605,1.4004765748977661,0.26116323471069336,1.684523582458496
213327[9],there if you're looking for comedy then {lg} rent or buy a comedy and if you're looking for something that's going to scare you then i would definitely just rent or buy a horror movie because this movie just didn't do it for me the acting,[0. 1. 1. 0. 1. 0.],[1. 1. 1. 0. 1. 0.],0.0671948790550232,0.5428781509399414,1.3455491065979004,1.007667899131775
221137[4],basically uhh the plot of the movie is this umm uhh named jane eats umm these these stutter umm uhh treats that are that have in them and she doesn't know that she does it and it just follows her day and her hilarious supposed to be hilarious misadventures and mishaps but umm,[0. 0. 1. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],-0.3963964283466339,-0.8798182010650635,1.1470195055007935,1.0615944862365723
222247[8],and once there robert redford finds that the prison is hopelessly corrupt and some of the inmates are being murdered and uhh james character the warden uhh is running the prison uhh like a despot and uhh there's just a whole bunch of bad things going on inside the prison that shouldn't be happening uhh,[0. 0. 0. 0. 1. 0.],[0. 1. 1. 0. 1. 0.],1.1359224319458008,1.0423510074615479,0.26075905561447144,0.9689107537269592
22373[3],umm i don't think is one of the best movies uhh ever it's about umm is about uhh two guys who go to africa because they've been called upon because uhh a village over there in east africa this is set in has a problem because there's two man eating lion lions stutter who are uhh killing a lot of the people there so,[0. 1. 1. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.4648437798023224,0.17222614586353302,1.0325226783752441,0.9386940002441406
224631[9],umm basically this is what it says on the back here and uhh i was trying to think of a way to describe this movie because it's just so complex and the way they put it on the back just umm it's the right way to say it umm,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],-0.16076220571994781,0.7073189616203308,0.7046723961830139,0.9291662573814392
