id,input_sentence,label,prediction,confidence,confidence-t,confidence-v,confidence-a,prediction-dynamic
-6rXp3zJ3kc[0],future and it's a retirement future that can ultimately turned in to an income for you when you no longer have an income and you're fully retired,[0. 1. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4527048,0.46865790535842955,0.5319467595845883,0.4262095924471494,[1. 0. 0. 0. 0. 0.]
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.44891855,0.447896541096707,0.5316117726243401,0.46184609083497397,[1. 0. 0. 0. 0. 0.]
-6rXp3zJ3kc[2],so the answer to the question can i contribute stock to an ira is absolutely correct but always be mindful of the security that your using it make sure it's safe this is financial,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 0. 1.],0.4543913,0.16860346101272228,0.5312786643287275,0.5857650850610105,[1. 1. 0. 0. 0. 1.]
-9y-fZ3swSY[0],is you can say hey i really like baby skin they are so soft they have any hair on their face so nice,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.44599676,0.37101772758165896,0.0,0.53184648431682,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[1],face so nice by giving a good example and not directly comparing it to a lady you,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],0.45147586,0.28917114766355323,0.48163741057050385,0.6819185410670232,[1. 0. 1. 0. 0. 0.]
-9y-fZ3swSY[2],lady you are hinting that you want her to remove her mustache,[1. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.44772673,0.2676199876017442,0.5315459396363997,0.44361568397290485,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[3],and lastly hey or hey bitch,[1. 0. 1. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.45088863,0.32449402282413675,0.5320298603420335,0.4651200409550764,[1. 1. 0. 0. 0. 0.]
-9y-fZ3swSY[4],seen this in us or in the us,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.44844073,0.25896651759669376,0.5319079495213647,0.49149957525892046,[1. 1. 0. 0. 0. 0.]
-9y-fZ3swSY[5],bad look so even if a lady never call another women or a lady hey the,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.44935927,0.39614301642603356,0.3440975290653848,0.6043067699883389,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[6],hey the better way to use this or the better word to say is excuse me ms excuse me mam a,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.45194522,0.23140471854697597,0.5316533403791776,0.562683586839099,[1. 1. 1. 0. 0. 0.]
-9y-fZ3swSY[7],mam a more decent and more polite way to call a lady and lastly,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.45127842,0.29227136208651816,0.5322919514347816,0.5722970958738891,[1. 1. 0. 0. 0. 0.]
