id,input_sentence,label,prediction,confidence,confidence-t,confidence-v,confidence-a,prediction-dynamic
-6rXp3zJ3kc[0],future and it's a retirement future that can ultimately turned in to an income for you when you no longer have an income and you're fully retired,[0. 1. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.47791475,0.46204600573369164,0.5679371614064954,0.4478446308719665,[1. 0. 0. 0. 0. 0.]
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.4777709,0.33080259339243145,0.6664569932192798,0.43905739049029735,[1. 0. 0. 1. 0. 0.]
-6rXp3zJ3kc[2],so the answer to the question can i contribute stock to an ira is absolutely correct but always be mindful of the security that your using it make sure it's safe this is financial,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 0. 0.],0.4886658,0.5427644119411121,0.539347506280335,0.35120296306333076,[0. 1. 1. 0. 0. 0.]
-9y-fZ3swSY[0],is you can say hey i really like baby skin they are so soft they have any hair on their face so nice,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.47280222,0.44748744483637765,0.9313480863923075,0.42217900018938725,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[1],face so nice by giving a good example and not directly comparing it to a lady you,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 1. 0. 0.],0.47840163,0.45549466196938826,0.5436548276187707,0.6503621761362849,[1. 0. 1. 0. 0. 0.]
-9y-fZ3swSY[2],lady you are hinting that you want her to remove her mustache,[1. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.47584698,0.5194752808782147,0.6944648573281068,0.4707974087823325,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[3],and lastly hey or hey bitch,[1. 0. 1. 1. 0. 0.],[1. 0. 1. 0. 1. 0.],0.48328874,0.47909674519828677,0.5022910312119501,0.5485097880864653,[1. 0. 1. 0. 1. 0.]
-9y-fZ3swSY[4],seen this in us or in the us,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.48032442,0.5179364932221702,0.5107798673061433,0.3797712032864074,[1. 1. 0. 0. 0. 0.]
-9y-fZ3swSY[5],bad look so even if a lady never call another women or a lady hey the,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.48240355,0.3622629560673498,0.7812012141997774,0.9483040604314641,[1. 0. 0. 1. 0. 0.]
-9y-fZ3swSY[6],hey the better way to use this or the better word to say is excuse me ms excuse me mam a,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.48000005,0.44912874444459283,0.4902860347012206,0.5174604519426049,[1. 0. 1. 0. 0. 0.]
-9y-fZ3swSY[7],mam a more decent and more polite way to call a lady and lastly,[1. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],0.4732264,0.40906172154081044,0.3268439303940055,0.583758820748834,[0. 1. 0. 0. 0. 0.]
-AUZQgSxyPQ[0],the perfect soul mate to the spot therapy brush this gentle ph balanced and containing and fruit oils and bamboo and prickly bear extracts deliver intense healing while smooth granules buff away dead dry skin cells the,[0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],0.48299748,0.4936684416596281,0.6748245358023095,0.5293933411141204,[1. 0. 0. 0. 0. 0.]
-HeZS2-Prhc[0],so the major index tracking exchange traded funds were smartly higher at the opening bell on the stock market today the,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4837016,0.46395124937307625,0.6910526358399327,0.563152007889595,[1. 0. 0. 0. 0. 0.]
