id,input_sentence,label,prediction,confidence,confidence-t,confidence-v,confidence-a
-6rXp3zJ3kc[0],future and it's a retirement future that can ultimately turned in to an income for you when you no longer have an income and you're fully retired,[0. 1. 1. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.28484714,0.18545114,-1.6613979,0.31584686
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.28054762,0.16148652,-1.4131335,0.31132042
-6rXp3zJ3kc[2],so the answer to the question can i contribute stock to an ira is absolutely correct but always be mindful of the security that your using it make sure it's safe this is financial,[0. 1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 1.],0.32358277,0.21648352,5.1521015,-0.17767416
-9y-fZ3swSY[0],is you can say hey i really like baby skin they are so soft they have any hair on their face so nice,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.27703238,0.24250953,0.24719785,0.26541084
-9y-fZ3swSY[1],face so nice by giving a good example and not directly comparing it to a lady you,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],0.3020927,0.2150452,0.3157888,0.36030194
-9y-fZ3swSY[2],lady you are hinting that you want her to remove her mustache,[1. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.2962512,0.20464809,4.1033154,0.24374403
-9y-fZ3swSY[3],and lastly hey or hey bitch,[1. 0. 1. 1. 0. 0.],[1. 0. 1. 0. 0. 0.],0.30919454,0.18870947,-0.3048427,0.2960728
-9y-fZ3swSY[4],seen this in us or in the us,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.2707206,0.44159797,0.21373619,0.3110259
-9y-fZ3swSY[5],bad look so even if a lady never call another women or a lady hey the,[1. 0. 1. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],0.30632564,0.20767047,-2.1158977,0.34566483
-9y-fZ3swSY[6],hey the better way to use this or the better word to say is excuse me ms excuse me mam a,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.30339903,0.20823246,0.3368088,0.37076333
-9y-fZ3swSY[7],mam a more decent and more polite way to call a lady and lastly,[1. 0. 0. 0. 0. 0.],[0. 1. 1. 0. 0. 0.],0.2874899,0.18471964,0.24165304,0.1913022
-AUZQgSxyPQ[0],the perfect soul mate to the spot therapy brush this gentle ph balanced and containing and fruit oils and bamboo and prickly bear extracts deliver intense healing while smooth granules buff away dead dry skin cells the,[0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],0.27864975,0.1832739,0.24974315,0.21319287
-HeZS2-Prhc[0],so the major index tracking exchange traded funds were smartly higher at the opening bell on the stock market today the,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.29187,0.15629828,-0.45826238,0.26200944
-HeZS2-Prhc[1],market today the august jobs report is out and it was seen overall as solid but not great the report,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.3035818,0.18795246,2.6205063,0.1996515
-HeZS2-Prhc[2],so a look at the gold and silver exchange traded funds gold shares popped nearly in early trade on the stock market today,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.30628163,0.20952545,4.9204774,0.18644418
-HeZS2-Prhc[3],industry she pledged to fight unjustified of drugs if,[1. 0. 1. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],0.29786864,0.22669406,-2.2030256,0.29949614
-MeTTeMJBNc[0],okay what happens at this point after we've taken this brief walk down memory lane is the presentation of the gift now,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.3308914,0.17442343,0.31893557,0.34118533
-MeTTeMJBNc[1],whatever it is it just needs to be a simple statement and then you present the gift,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.29503828,0.20266332,0.27658433,0.35250735
-MeTTeMJBNc[2],panic a thinking oh my gosh fiftieth wedding anniversary fortieth wedding anniversary i've got to come up with something really good,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.30512255,0.23513563,0.27163753,0.39223164
-MeTTeMJBNc[3],picture maybe you could find a picture of the couple from their wedding or sometime in their life or maybe even a current picture and have it put in a beautiful frame,[1. 0. 0. 1. 0. 0.],[1. 0. 1. 0. 0. 0.],0.30477238,0.21733311,2.3803544,0.24741663
-RfYyzHpjk4[0],so get your friends lined up get your business colleagues lined up and have a good time kathy,[1. 1. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.31605694,0.19938764,2.295811,0.33085242
-RfYyzHpjk4[1],you can make a conference call but it takes quite a bit of planning well not a lot of planning it's pretty easy to do what has,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 0. 0.],0.305812,0.22423145,0.24870555,0.22343604
-RfYyzHpjk4[2],doing it's pretty pretty easy to do but you got to set up those numbers ahead of time you,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.30597436,0.20197242,0.32389587,0.22740497
-RfYyzHpjk4[3],time you can use it for personal use family friends internationally as long as they can call the states you've got a free conference call that can take place,[1. 0. 1. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],0.2736427,0.20466898,4.7718453,0.29688287
-UUCSKoHeMA[0],i mentioned a word in the last clip called and i want to talk about that briefly what you don't,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.30039138,0.20402138,0.27239904,0.22062577
