id,input_sentence,label,prediction,confidence,confidence-t,confidence-v,confidence-a,prediction-dynamic
-6rXp3zJ3kc[0],future and it's a retirement future that can ultimately turned in to an income for you when you no longer have an income and you're fully retired,[0. 1. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.47791475,0.5376654345075393,0.43212302397390473,0.5519807792231969,[1. 0. 0. 0. 0. 0.]
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.4777709,0.6689339492130041,0.3336070944795333,0.5607661533170739,[1. 0. 0. 1. 0. 0.]
-6rXp3zJ3kc[2],so the answer to the question can i contribute stock to an ira is absolutely correct but always be mindful of the security that your using it make sure it's safe this is financial,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 0. 0.],0.4886658,0.45749501084812133,0.46099386207045856,0.6488010542849456,[0. 1. 1. 0. 0. 0.]
-9y-fZ3swSY[0],is you can say hey i really like baby skin they are so soft they have any hair on their face so nice,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.47280222,0.5519574717071579,0.06860570708554808,0.5775651955430234,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[1],face so nice by giving a good example and not directly comparing it to a lady you,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 1. 0. 0.],0.47840163,0.5442441380534291,0.456416296269382,0.349460576070357,[1. 0. 1. 0. 0. 0.]
-9y-fZ3swSY[2],lady you are hinting that you want her to remove her mustache,[1. 0. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.47584698,0.48011258545315,0.3055507000353831,0.5289934225785412,[1. 0. 0. 0. 0. 0.]
-9y-fZ3swSY[3],and lastly hey or hey bitch,[1. 0. 1. 1. 0. 0.],[1. 0. 1. 0. 1. 0.],0.48328874,0.520894413329411,0.49790569454892547,0.4513971622590908,[1. 0. 1. 0. 1. 0.]
-9y-fZ3swSY[4],seen this in us or in the us,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.48032442,0.4818883493212007,0.4893393769325912,0.6200966494207161,[1. 1. 0. 0. 0. 0.]
-9y-fZ3swSY[5],bad look so even if a lady never call another women or a lady hey the,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.48240355,0.6377105413525966,0.21899395993612444,0.05156783153832839,[1. 0. 0. 1. 0. 0.]
-9y-fZ3swSY[6],hey the better way to use this or the better word to say is excuse me ms excuse me mam a,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.48000005,0.5506961039653618,0.5098230580150791,0.48239501165151905,[1. 0. 1. 0. 0. 0.]
-9y-fZ3swSY[7],mam a more decent and more polite way to call a lady and lastly,[1. 0. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],0.4732264,0.5904151840432632,0.6730738320650251,0.4159838310451569,[0. 1. 0. 0. 0. 0.]
