id,input_sentence,label,prediction,Original_Loss,T_Masked_Loss,V_Masked_Loss,A_Masked_Loss
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],-1.0209081172943115,-0.19821833074092865,1.6599334478378296,0.7829692363739014
-yRb-Jum7EQ[0],vacuum it comes with the assistance and agitation of states and regimes yesterday iran announced that it will finance the families of the terrorists and murderers this shows that iran even after the nuclear agreement is continuing to aid terrorism including palestinian terrorism hezbollah terrorism and its assistance to hamas this,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],1.7891333103179932,1.143646240234375,0.03562305495142937,0.5463013648986816
0bxhZ-LIfZY[0],i think what will hold us back will be our weakness in implementation our deadlocked democracy if not educated will turn back on us which is something we need to clearly focus on education,[1. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],1.8109673261642456,0.33150532841682434,1.3688061237335205,0.11320286244153976
102213[11],animals there seems to be a ton of but there also seems to be a ton of real animals and i'm not sure why they would have blown all that money when they could have just you know it all because the animals really weren't that impressive,[0. 1. 0. 1. 0. 0.],[0. 1. 1. 1. 1. 0.],0.005715224891901016,1.0685774087905884,1.5253345966339111,-0.13499431312084198
107585[4],characters and it felt like the you know there's like just a little bit just way too typical of a boring film that tries really hard to be funny but it's just not funny at all and it's not it's not stutter witty it it's stutter,[0. 0. 1. 1. 1. 0.],[0. 1. 1. 0. 1. 0.],0.09729517996311188,1.3402222394943237,-0.1230255588889122,0.5199351906776428
107585[18],all and umm you know mandy moore's character is kind of like you feel like her character's unrealistic because what type of girl would go that hard core to you know to get married in this church and it just seemed unrealistic and she gets all in a fit and it's just really really tiring and stressful movie,[1. 0. 1. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],-1.160265326499939,0.3890915513038635,1.3878600597381592,-0.29673558473587036
112425[2],umm i think that uhh a lot of the more recent videos from disney such as the emperor's new groove umm over the hedge and stuff like that they've had a lot of real high brow umm you know adult comedy but i think does a very good job in umm sticking to it's target audience which is kids and you know hyping that to how disney movies used to be you know with with kids jokes and not these kinds of inane sexual references so i would highly recommend i think,[0. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 1. 0.],0.0031722472049295902,0.05854640156030655,1.5503398180007935,-0.7507439851760864
116213[1],there summer here and if you're looking for a fantastic at a value price that everyone in your family can watch well why not try pay it forward with haley joel osment helen hunt and kevin spacey this movie takes you through the journey of a child who learns life's lessons and it might just leave you crying in the end,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],-1.2846705913543701,-0.571310818195343,1.0024912357330322,0.15264682471752167
121400[8],and little do you know that uhh the league extraordinary gentlemen has a woman in it and each of these uhh five people have different powers and uhh they're all a little bit special at what they do and uhh you've got a vampire in there you've got an invisible man,[1. 0. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 0.],-0.21088942885398865,0.12144826352596283,1.5681403875350952,-0.18420681357383728
135623[4],granted i only paid two dollars to see it uhh there's a really cheap movie theater where i live that i can go see movies that have come out umm recently for pretty cheap but two dollars didn't even really seem like a bargain considering that movie you know just really cheesy uhh the graphics and stuff were just kind of annoying like the stuff i don't,[0. 0. 1. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],-0.26713138818740845,0.9471365213394165,1.1653586626052856,-0.10750448703765869
173CpFb3clw[1],get some examples from industry associations of the different terms and conditions that other people in your industry use review them look to see how your terms and conditions might fit into those sit down and draft them and then have somebody look at them like a solicitor or an industry representative to see that they meet all the and state regulations,[1. 1. 0. 0. 0. 1.],[1. 1. 0. 0. 0. 1.],0.1198728084564209,-0.698380708694458,1.1400604248046875,0.13853061199188232
190743[2],son they're looking and looking and looking and she's got a history of using drugs and she has a history of being a liar and not not stutter acting appropriately and then not being stutter you know a person with uhh everything there all her marbles together in a row and,[0. 0. 1. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],0.2196388989686966,0.495269775390625,1.4338347911834717,0.0003366654855199158
198112[10],or something but this is definitely something you're gonna show your kids cause it's hilarious and it's hilarious in a different way and a lot of people don't uhh appreciate it as much as it is because they just kinda think it's funny but i think this is creatively done because i'm into like a weird humor i guess you could say and there's like umm like hidden humor in here just that uhh with editing and continuity and uhh just the way things are produced that makes it humorous in that aspect as opposed to just uhh the way he is and it's,[1. 0. 1. 1. 0. 0.],[1. 1. 0. 0. 1. 0.],-0.6564033031463623,-0.3448917865753174,2.097381114959717,-0.2835439145565033
1pl2FVdQWj0[1],introducing where are they from where do they go to school what was their life like growing up what was their career like what were the highs of their career what were the lows of their career do they have a family do they like basketball do they eat pizza with i,[1. 0. 1. 0. 0. 0.],[1. 0. 1. 1. 1. 0.],-1.2977977991104126,0.7251701951026917,1.339797019958496,0.4708592891693115
206585[4],he gets into it he enjoys it a lot but he's still keeping a secret from his family so he is trying to cope with having this this stutter you know exciting moment added to his life and trying to keep it from his family so he's trying to figure out how to balance everything and you know i mean the dance scenes in here i felt were fantastic i thought jennifer lopez did a fantastic job and the girl really can dance umm as as stutter far as that goes that's pretty much it i think the,[0. 0. 1. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],-1.820705771446228,-1.0269346237182617,1.553410530090332,-0.5654770135879517
208592[7],production so it's uhh the story goes like you know there's uhh this new singer dancer at a bar which is in the call girl area or the red light area kind of thing and he falls in love with this girl but this girl is in love with some other person so you know the story is whether he'll actually get the girl or not and you know how he pursues that,[0. 0. 1. 0. 1. 0.],[1. 1. 0. 1. 0. 0.],-1.036988377571106,-0.18792864680290222,2.1826608180999756,-1.0986568927764893
210259[14],office and stutter all the three of the you know all the three scenes are kind of related to each other because they're talking about why did the us go to war with afghanistan and iraq and what was the reason and what can be done now and stutter you know whatever they talk about it's they try to make a stutter drama out of it a dramatic movie out of it but really doesn't make sense you know stutter,[0. 1. 1. 1. 0. 0.],[0. 1. 1. 0. 1. 0.],0.2733091413974762,1.4420322179794312,0.4940606951713562,0.9342390894889832
