id,input_sentence,label,prediction,confidence,confidence-t,confidence-v,confidence-a
-6rXp3zJ3kc[0],future and it's a retirement future that can ultimately turned in to an income for you when you no longer have an income and you're fully retired,[0. 1. 1. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.39549196,6.3100867,0.28584272,0.32888836
-6rXp3zJ3kc[1],very aware of many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 0. 1.],0.3990752,9.401847,0.30377024,0.35223103
-6rXp3zJ3kc[2],so the answer to the question can i contribute stock to an ira is absolutely correct but always be mindful of the security that your using it make sure it's safe this is financial,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.41866285,8.154117,0.2898054,0.32316875
-9y-fZ3swSY[0],is you can say hey i really like baby skin they are so soft they have any hair on their face so nice,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.39998847,6.9795527,0.27587438,0.07211529
-9y-fZ3swSY[1],face so nice by giving a good example and not directly comparing it to a lady you,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.39785433,8.051443,0.31458902,0.28783613
-9y-fZ3swSY[2],lady you are hinting that you want her to remove her mustache,[1. 0. 0. 1. 0. 0.],[1. 1. 1. 0. 1. 0.],0.41209817,7.35586,0.3231982,0.25825974
-9y-fZ3swSY[3],and lastly hey or hey bitch,[1. 0. 1. 1. 0. 0.],[1. 1. 1. 1. 1. 0.],0.40051413,6.735478,0.30392992,0.28738314
-9y-fZ3swSY[4],seen this in us or in the us,[1. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.39132303,8.197941,0.30435315,0.28608292
-9y-fZ3swSY[5],bad look so even if a lady never call another women or a lady hey the,[1. 0. 1. 0. 0. 0.],[1. 0. 1. 1. 1. 0.],0.39321768,6.5276628,0.3046071,0.10711667
-9y-fZ3swSY[6],hey the better way to use this or the better word to say is excuse me ms excuse me mam a,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.3985513,8.10814,0.3053459,0.21748903
-9y-fZ3swSY[7],mam a more decent and more polite way to call a lady and lastly,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.41793942,7.881983,0.32061386,0.3002048
-AUZQgSxyPQ[0],the perfect soul mate to the spot therapy brush this gentle ph balanced and containing and fruit oils and bamboo and prickly bear extracts deliver intense healing while smooth granules buff away dead dry skin cells the,[0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0.],0.39515167,8.779559,0.29606152,0.29854953
-HeZS2-Prhc[0],so the major index tracking exchange traded funds were smartly higher at the opening bell on the stock market today the,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 1. 0. 0.],0.41886014,8.381127,0.3200944,0.35299385
-HeZS2-Prhc[1],market today the august jobs report is out and it was seen overall as solid but not great the report,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 0. 0.],0.40331286,8.67319,0.30318666,0.33656853
-HeZS2-Prhc[2],so a look at the gold and silver exchange traded funds gold shares popped nearly in early trade on the stock market today,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.41652995,7.1732016,0.31443983,0.33286566
